ref,text,modern_text
,"Що зілля, то баба; що баба, то зілля.","Що зілля, то баба; що баба, то зілля."
,"Сто літ живе, а двісті кошить.","Сто літ живе, а двісті кошить."
,"Гарна, як квітка габова.","Гарна, як квітка вербова."
,"Біленька, як нитка.","Біленька, як нитка."
,"Личенько біленьке, як у панятки.","Личенько біленьке, як у паняти."
,Як зірниця зійшла.,Як зірниця зійшла.
,Рожа й межі кропивою зістане рожею.,Рожа і між кропивою зостане рожею.
8430,"Дівка, як ягідка.","Дівка, як ягідка."
,"Молода й хороша, як ягодка.","Молода й хороша, як ягідка."
,"Червона, як ягода.","Червона, як ягода."
,"Червоне, як калина.","Червоне, як калина."
,"Таке хороше, як калина.","Таке гарне, як калина."
,"Дівчина, що в лузі калина.","Дівчина, що в лузі калина."
,"Червона, як рожа.","Червона, як рожа."
,"Весела, як ясочка.","Весела, як ясочка."
,"Чорнобрива, як ясочка.","Чорнобрива, як ясочка."
,Брова колесом.,Брова колесом.
,Брови на шнурочку.,Брови на шнурочку.
8440,"Одна брова стоїть вола, другій й ціни нема.","Одна брова стоїть вола, другій й ціни нема."
,"Очі чорні, як терен.","Очі чорні, як терен."
,"Гарна, як сіно в годину.","Гарна, як сіно в годину."
,"Гарна, як бондарівна.","Гарна, як бондарівна."
,"Гарне, як мак городній.","Гарне, як мак городній."
,"Така, хоч видивись.","Така, хоч видивись."
,"Там-то хороша, хоч малюй.","Там-то гарна, хоч малюй."
,"Така гарна, як пані намальована.","Така гарна, як пані намальована."
8450,"Гарна, хоч з лиця води напицьця.","Гарна, хоч з лиця води напитися."
,Молодиця--подивицьця.,Молодиця — подивитися.
,"Молодиця, як тихеє літо.","Молодиця, як тихе літо."
,Дівка--як тополя.,Дівка — як тополя.
,"Красавиця, що зпід стола кусаєцця.","Красуня, що з-під стола кусається."
,"Хлопець молодий, як барвінок.","Хлопець молодий, як барвінок."
,Хороший -- як кров з молоком.,Гарний — як кров з молоком.
,"Струнький, як хвоїнка.","Струнький, як хвоїнка."
,"Хороший, хороший! був би ще кращий, та вже нікуди.","Гарний, гарний! був би ще кращий, та вже нікуди."
,"Де врода, там ні сила.","Де врода, там ні сила."
,"Як хороший, то жаль грошей; а як поганий, копну ногами.","Як гарний, то жаль грошей; а як поганий, копну ногами."
,"Не дивися на уроду, лише на пригоду.","Не дивися на вроду, лише на пригоду."
,Біг до вроди розуму не прив'язав.,Бог до вроди розуму не прив'язав.
,Хороший чортам на гроші.,Гарний чортам на гроші.
,"Хороші, та на чортові гроші, а ми погані, та Богом кохані.","Гарні, та на чортові гроші, а ми погані, та Богом кохані."
,З краси не пити води.,З краси не пити води.
8490,Краси на тарілці не крають.,Краси на тарілці не крають.
,"Хоч під лавою полежу, та на хорошого погляну.","Хоч під лавою полежу, та на гарного погляну."
,"Бридкий, як хибчи.","Бридкий, як хиби."
,Подивись у воду на свою уроду.,Подивись у воду на свою вроду.
,"Уродицця ж дівка, мов червива ріпа.","Вродилася ж дівка, мов червива ріпа."
,"А ні з плечей, а ні з очей.","А ні з плечей, а ні з очей."
,"Скривився, як Циган на ярмарці.","Скривився, як Циган на ярмарку."
,Молодець не гірше старої баби.,Молодець не гірше старої баби.
,"Хороша, як свиня в порошу.","Гарна, як свиня в порошу."
8510,"Хороший, як свиня в дощ.","Гарний, як свиня в дощ."
,"Хороший, як собака на морозі.","Гарний, як собака на морозі."
,"Создав Бог, та й розкаявся.","Створив Бог, та й розкаявся."
,"Уродила мама, як урода.","Вродила мама, як урода."
,"Як вигляне в окно, то три дні собаки брешуть!","Як виглянути у вікно, то три дні собаки брешуть!"
,"Скривився, як ковальський міх.","Скривився, як ковальський міх."
8520,"Рябе, як на небі зірниці увечері.","Рябе, як на небі зірниці увечері."
,У нього на виду чорт сім кіп гороху змолотив.,У нього на виду чорт сім кіп гороху змолотив.
,На рябому хліб сіють.,На рябому хліб сіють.
,"Зелена, як жаба.","Зелена, як жаба."
,"Рудий, як собака.","Рудий, як собака."
,"Чорноброва, як риже теля.","Чорноброва, як руде теля."
,"Із ста рудих два худих, а із ста чорних тілько два некорних.","Із ста рудих два худих, а із ста чорних тільки два некірних."
,"Чорний, як Циган.","Чорний, як Циган."
,"Білий, як Оран.","Білий, як Оран."
,"Білий, як циганський сир.","Білий, як циганський сир."
,"Чорний, як гуси.","Чорний, як гуси."
,"Хліб чорний, та моторний.","Хліб чорний, та моторний."
,"Чорний мак, та смачний, а біла редька, та гірка.","Чорний мак, та смачний, а біла редька, та гірка."
,Чорна--моторна.,Чорна — моторна.
,На чорній землі хліб родить.,На чорній землі хліб родить.
,Низький на очі.,Низький на очі.
,"З сліпого, глухого, німого найлуччий чоловік.","Зі сліпого, глухого, німого найкращий чоловік."
,"Ніс, як за сім гривень сокира.","Ніс, як за сім гривень сокира."
,"Лис, зиз, кутернога: як удасиця що доброго--велика ласка від Бога.","Лис, зиз, кутернога: як вдасться що доброго — велика ласка від Бога."
,"Коли б не зуби, то було б гайно з губи.","Коли б не зуби, то було б гайно з губи."
,"Безглузда, як синиця.","Безглузда, як синиця."
,"Сухий, як скіпка.","Сухий, як скіпка."
8550,"Худий, як дошка.","Худий, як дошка."
,"Худий, аж ребра світяцця.","Худий, аж ребра світяться."
,"Борода честь, а вуси й в кота єсть.","Борода честь, а вуси й у кота є."
,"Чуткий, як утка.","Чуткий, як качка."
,"Глухий, як тетерук.","Глухий, як тетерук."
,Говори до гори.,Говори до гори.
,Ти йому про Тараса--він тобі півтораста.,Ти йому про Тараса — він тобі півтораста.
,"Глухий не почує, так видума.","Глухий не почує, то вигадає."
,"Глухому, як дурному: бовтне, як козел у воду.","Глухому, як дурному: бовтне, як козел у воду."
,Добре глухому--не скаже нікому.,Добре глухому — не скаже нікому.
,Глухого й німого справи не допитаєсся.,Глухого й німого справи не допитаєшся.
,У поганому тілі погана душа.,У поганому тілі погана душа.
8570,"Не поможе ні мило, ні вода, коли така врода.","Не поможе ні мило, ні вода, коли така врода."
,"Повнолиций, як місяць.","Повновидий, як місяць."
,Щоки--як кавуни.,Щоки — як кавуни.
,"Зуби, як ріпа.","Зуби, як ріпа."
,"Кругленька, як цибулька.","Кругленька, як цибулька."
,"Коса, як праник.","Коса, як праник."
,"Здоровий, як лось.","Здоровий, як лось."
8580,"Маленький, як у чорта назімок.","Маленький, як у чорта назімок."
,"Прездоровий, як дубовий пеньок!","Прездоровий, як дубовий пеньок!"
,"Такий червоний, як рижок.","Такий червоний, як рижок."
,"Кремезний, як рижок.","Кремезний, як рижок."
,"Баба, як тур.","Баба, як тур."
,"Пика, хоч пацюки бий.","Пика, хоч пацюків бий."
,"Морда, як не лусне.","Морда, як не лусне."
,Лоб--відро ціле.,Лоб — відро ціле.
,"Шия, хоч обідди гни.","Шия, хоч обідні гни."
,"Здорова, як корова.","Здорова, як корова."
,"Здоровий, як бик.","Здоровий, як бик."
,"Ходить, як бугай.","Ходить, як бугай."
8600,Виріс з сидячого кота.,Виріс з сидячого кота.
,"Підростеш, як скібка в руках!","Підростеш, як скіпка в руках!"
,"Вбився в ріст, як заєць в хвіст.","Вбився в ріст, як заєць в хвіст."
,Маленька собачка повік щеня.,Маленька собачка повік щеня.
,"Росте, як із води.","Росте, як із води."
8610,"Росте, як утя на воді.","Росте, як утя на воді."
,"Росте, як на дріжджах.","Росте, як на дріжджах."
,"О, сей ріс у великому лісі, та ще й при воді!","О, цей ріс у великому лісі, та ще й при воді!"
,"Ріс, як мокрого літа.","Ріс, як мокрого літа."
,"Високий, як дуга.","Високий, як дуга."
,Хлоп -- як дуб.,Хлоп — як дуб.
,"Великий, як світ.","Великий, як світ."
,"Довгий, як жертка.","Довгий, як жердина."
,"Довгий, як хвоя.","Довгий, як хвоя."
,"Довгий, як чапля.","Довгий, як чапля."
,"Цибатий, як журавель.","Цибатий, як журавель."
,"Великий, мов Пирятинська верства.","Великий, мов Пирятинська верства."
,"Обдувсь, як барило.","Обдувся, як барило."
,"Товстий, як бочка.","Товстий, як бочка."
,"Гладкий, аж з шкури прецця.","Гладкий, аж зі шкури пнеться."
8630,"Гладка така, що й миш не одержицця.","Гладка така, що й миша не одержиться."
,"Така, як кадовб.","Така, як кадовб."
,"Там така, що бублика з'їси, поки кругом обійдеш.","Там така, що бублика з'їси, поки кругом обійдеш."
,"Сунецця, мов горохова копиця.","Сунеться, мов горохова копиця."
,"Сопе, як з мішка.","Сопе, як з мішка."
,"Молоде золоте, а старе гниле.","Молоде золоте, а старе гниле."
8640,"Сивись, як циганський король.","Сивий, як циганський король."
,Не торішнього літа.,Не торішнього літа.
,"Такий старий, що аж порохня сиплецця.","Такий старий, що аж порохня сиплеться."
,"Така стара, що зуби вже попрідала.","Така стара, що зуби вже повипадали."
,"Вони не так старі, як давні.","Вони не так старі, як давні."
,"Старий, як ведмідь.","Старий, як ведмідь."
,"Старий, як світ.","Старий, як світ."
,"Тілько годок, як в решеті дірок.","Тільки годків, як у решеті дірок."
8650,"Старий, як чорт.","Старий, як чорт."
,"Як би тодішній собака, то давно б здох.","Як би тодішній собака, то давно б здох."
,"Старий, як собака.","Старий, як собака."
,"Старий, як луб'єя.","Старий, як луб'я."
,На ледачій землі й трава не росте.,На ледачій землі й трава не росте.
,"Лисий, як макогін.","Лисий, як макогін."
,"На дорозі колос, на пустій голові волос ніде не виросте.","На дорозі колос, на пустій голові волос ніде не виросте."
,"Старе, а завьяле.","Старе, а зав'яле."
,"Старий, а як скаже, та прикаже, то й молодий не справицця.","Старий, а як скаже, та прикаже, то й молодий не справиться."
,"Старий, а не росте.","Старий, а не росте."
,"Старий, а ще ростеш.","Старий, а ще ростеш."
,Не клади старому пальця в рот.,Не клади старому пальця в рот.
,"Старий, а храмає.","Старий, а кульгає."
8670,"Старий, та дурний.","Старий, та дурний."
,"Старе, аж трусицця, а дурне, аж крутицця.","Старе, аж труситься, а дурне, аж крутиться."
,Старому жениться -- й ніч коротка.,Старому женитися — й ніч коротка.
,Старій бабці добре й в шапці.,Старій бабці добре й в шапці.
,Старій бабі й на печі ухаб.,Старій бабі й на печі ухаб.
,"Старе, як гнила колода--нікому не потрібне.","Старе, як гнила колода — нікому не потрібне."
,"Старий говорить--городить, та на правду виходить.","Старий говорить — городить, та на правду виходить."
,Чому чорт мудрий? бо старий.,Чому чорт мудрий? бо старий.
,"Слухай старих людей, то чужого розуму набересся й свого не загубиш.","Слухай старих людей, то чужого розуму набереш і свого не загубиш."
,Старого чоловіка для поради держи.,Старого чоловіка для поради держи.
8680,Старики з правої руки.,Старики з правої руки.
,Старим треба давать старше місце.,Старим треба давати старше місце.
,Старий старе гадає.,Старий старе гадає.
,Старість не радість.,Старість не радість.
,"Старий, що вробив, то Бог дав, а що ззів, то пропало.","Старий, що вробив, то Бог дав, а що з'їв, то пропало."
,"Багатому красти, а старому брехати.","Багатому красти, а старому брехати."
,Старому брехать не ціпом махать.,Старому брехати не ціпом махати.
,"Що старе, що мале, що дурне.","Що старе, що мале, що дурне."
,"Що старе, то мале.","Що старе, то мале."
8690,"Старе, як мале.","Старе, як мале."
,"Як волосся сивіє, то чоловік дуріє.","Як волосся сивіє, то чоловік дуріє."
,"Волос сивіє, а голова шаліє.","Волос сивіє, а голова шаліє."
,"Сідини в голову, а чорт в бороду.","Сивина в голову, а чорт в бороду."
,"Чоловік старіє, а чортяка під бік.","Чоловік старіє, а чортяка під бік."
,Й старому собаці дригають жили.,І старому собаці дригають жили.
,Й в старім пні часом чорт палає.,І в старому пні часом чорт палає.
,Й в старій печі дідько топить.,І в старій печі дідько топить.
,"Стар, та яр.","Стар, та яр."
,"Й стар, та не валашан.","І стар, та не валашан."
8700,Із старих все лихо встає.,Із старих все лихо встає.
,"Хто старий, той і луччий.","Хто старий, той і кращий."
,Бодай старого чорт вчив!,Бодай старого чорт навчив!
,"Стариі, як малиї: хоч трохи дай, то поідять, хоч багацько дай, то поідять.","Старі, як малі: хоч трохи дай, то поїдять, хоч багацько дай, то поїдять."
,"Стар любить скпар, а молод холод.","Старий любить тепло, а молодий холод."
,"Дай, Боже, иззамолоду кості істи, а на старість мьике глидать!","Дай, Боже, змолоду кістки гризти, а на старість м'яке їсти!"
,"Колим був молод, не ів мено голод.","Коли я був молодий, не їв мене голод."
,"Що молодше, то й солодше.","Що молодше, то й солодше."
,"Молода була--дурна була; стара стала, дурна стала.",Молода була — дурна була; стара стала — дурна стала.
,"Як були ми молодими, то ходили по дубині, у червоних запасках и сивизна на висках.","Як були ми молодими, то ходили по дібровах, у червоних запасках і сивина на скронях."
8710,"Коли молод бував, пуд кколінця годубця вибивав; а як стар став, всбго того перестав.","Коли молодий бував, під коліна голубця вибивав; а як старий став, всього того перестав."
,"Або ти старий, щоб тебе просив?","Або ти старий, щоб тебе просив?"
,"КОХАЙТЕСЯ чорнобриві, та не з Москалями.","Кохайтеся, чорнобриві, та не з москалями."
,Мене все безносі цілують.,Мене все безносі цілують.
,"Так мене, мамо, хлопці люблять, що за кулаками світа не бачу.","Так мене, мамо, хлопці люблять, що за кулаками світу не бачу."
,"Коли б літа вернулися, то б м хлопці горнулися.","Коли б літа вернулися, то б мене хлопці горнулися."
8730,Вірному коханню и Бог не противник.,Вірному коханню і Бог не противник.
,Бджола летить на любий цвіт.,Бджола летить на любий цвіт.
,"Козак на копі іздить, а дівчина родицця, та й козаку згодицця.","Козак на коні їздить, а дівчина родиться, та й козаку згодиться."
,"Сніп з бородою, а козак з молодою.","Сніп з бородою, а козак з молодою."
,"У нас така приповедінка: де парубок, там и дівка.","У нас така приказка: де парубок, там і дівка."
,"В кого чорний усок, тому риби шматок; в кого сива борода, тому юшки шкода.","В кого чорний вусок, тому риби шматок; в кого сива борода, тому юшки шкода."
8740,"Хто з чорними бровами, иди за ровами; а хто з рижою бородою, иди за водою.","Хто з чорними бровами, іди за ровами; а хто з рудою бородою, іди за водою."
,"Й не ходи по полю, й не топ'й куколю, и не лупай очима, я не твоя дівчина.","І не ходи по полю, й не топчи куколю, і не лупай очима, я не твоя дівчина."
,"Сонце вь віконце пече-припікає, парубок на дівку глядить-поглядає.","Сонце у віконце пече-припікає, парубок на дівку дивиться-поглядає."
,"Куди серце лежить, туди и око біжить.","Куди серце лежить, туди і око біжить."
,Серця не виїмеш.,Серця не вийнеш.
,"Болить серденько, та плакать стидненько.","Болить серденько, та плакати соромно."
,Серце не камепь.,Серце не камінь.
,"Закохавсь, як чорт в суху вербу.","Закохався, як чорт у суху вербу."
,"Любила так, що в ньому й душі не чула.","Любила так, що в ньому й душі не чула."
,Я б його духом (здохом) притягла.,Я б його духом притягла.
,Дух за ним ронить.,Дух за ним ронить.
,"Моє сердечко, моя птичко дорогая!","Моє сердечко, моя пташко дорогая!"
,Люби як душу.,Люби як душу.
,"Хто вірно кохає, той часто вітає.","Хто вірно кохає, той часто вітає."
,"Як не бачу--душа мре, а побачу -- й душі пре.","Як не бачу — душа мре, а побачу — й душі мре."
,До любої небоги нема далекої дороги.,До любої небоги нема далекої дороги.
8760,З милою сісти купити істи.,З милою сісти — куплено їсти.
,"Птиця з птицею не набьєцця, козак з дівчиною не наживецця.","Птиця з птицею не набудеться, козак з дівчиною не наживеться."
,"Геть, згинь, пропади, -- и до мене не ходи.","Геть, згинь, пропади, — і до мене не ходи."
,"Коли любиш, люби дуже, а не люби -- не жартуй же.","Коли любиш, люби дуже, а не любиш — не жартуй же."
,"Не могла звабити калачем, а потім тяжко було відбити бичем.","Не могла звабити калачем, а потім тяжко було відбити бичем."
,"Хоч кохання не зрадицця, та черево звадицця.","Хоч кохання не зрадиться, та черево зрадить."
,"Поглядає, як вовк на ягницю.","Поглядає, як вовк на ягницю."
,"Дівочий стид до порога: аби переступила, так и забула.","Дівочий сором до порога: аби переступила, так і забула."
,"Почервоніє, як мак.","Почервоніє, як мак."
,На козаку не буде знаку.,На козаку не буде знаку.
8780,"Доходився, що й хвоста збувся.","Доходився, що й хвоста збувся."
,"Хто любить ревно, жаліє певне.","Хто любить ревно, жаліє певно."
,Розстання з милим смерті рівняєцця.,Розлука з милим смерті рівняється.
,"Ліпш би не знатися, неже зараз и розстратися.","Краще б не знатися, ніж зразу і розстатися."
,РОСПУСНЕ життя в молодости приносить хоробу на старії кості.,Розпусне життя в молодості приносить хворобу на старі кості.
,"Утіхи на годину, а біди до смерті.","Утіхи на годину, а біди до смерті."
,"Що тіло любить, тоє душу губить.","Що тіло любить, те душу губить."
,Губи насалить та й навчицця.,Губи насалить та й навчиться.
,"Блажен муж, до школи не дуж, до церкви слизько, до дівчат близько.","Блажен муж, до школи не дуж, до церкви слизько, до дівчат близько."
,"Не поберігши тіла, й душу погубиш.","Не поберігши тіла, й душу погубиш."
,"Хто дітей христить, той добра не мислить.","Хто дітей христить, той добра не мислить."
,"Дівка, як дівка, та сорочка узька.","Дівка, як дівка, та сорочка вузька."
8810,"Дівчина, як дівчина, а черево як діжчина.","Дівчина, як дівчина, а черево як діжечка."
,Скакає в гречку.,Скакає в гречку.
,Чужая жона -- здоровьє чиєсь.,Чужа жона — здоров'я чиєсь.
,Два коти до єдной мишки не помістицця.,Два коти до однієї мишки не поміститься.
,"Як против сонця води не напитися, так з чужою жоною, або з мужем чужим не нажитися.","Як проти сонця води не напитися, так з чужою жоною, або з чужим чоловіком не нажитися."
,Уже тобі не вінок носити.,Уже тобі не вінок носити.
8829,"Господи допоможи перше на хрестини, як на коровай.","Господи, допоможи перше на хрестини, як на коровай."
,"Не байстрюкові гріх, а батькові.","Не байстрюкові гріх, а батькові."
,"Байструк, то росте, як струк.","Байструк то росте, як стручок."
,Пішла душа по руках.,Пішла душа по руках.
,"Хіба я така, що за мене пьятака.","Хіба я така, що за мене п'ятака."
,"Дала мати, чим облувати.","Дала мати, чим обути."
,"Нема кому ні обіпрать, ні облатать: треба женитися.","Нема кому ні обіпрати, ні облатати: треба женитися."
,"Трясітеся рубці, дивітеся молодці: хоч сорочки не маю, женитися думаю.","Трясіться рубці, дивіться молодці: хоч сорочки не маю, женитися думаю."
,"Хто рано одружицця, той вік не натужицця.","Хто рано одружиться, той вік не натужиться."
,"Не страшно женитись, а страшно журитись.","Не страшно женитись, а страшно журитись."
,Заміж ити -- не дощову годину перестоять.,Заміж іти — не дощову годину перестояти.
,Жінка не черевик: из ноги не скинеш.,Жінка не черевик: з ноги не скинеш.
,"Оженицьця -- не напасть, та щоб, женившись, не пропасть.","Одружитися — не напасть, та щоб, одружившись, не пропасти."
,"Не квапся женитися, бо ще тобі жінка стане костію в горлі -- її Бог сотворив з кості.","Не квапся женитися, бо ще тобі жінка стане кісткою в горлі — її Бог створив з кістки."
,"Оженися, не журися -- піде тобі рукою: жінка піде за борщем, а ти за мукою.","Одружися, не журися — піде тобі рукою: жінка піде за борщем, а ти за мукою."
,Женись -- перемінисєь.,Женись — перемінишся.
,"Голубець гукає, як парі шукає.","Голубець гукає, як пари шукає."
,Жодна пташка без товариша не пробуває в лісі.,Жодна пташка без товариша не пробуває в лісі.
8860,Усякої тварі по парі.,Усякої тварі по парі.
,Кожна птиця знайде свого гриця.,Кожна птиця знайде свого гриця.
,"Нежонатому пху, а жонатому й жінка в очі намлює.","Неодруженому пху, а одруженому й жінка в очі намлює."
,"Поможи, Боже, нежонатому, а жонатому й жінка поможе.","Поможи, Боже, неодруженому, а одруженому й жінка поможе."
,"Не дай, Боже, два рази женитись, три рази селитись.","Не дай, Боже, двічі женитися, тричі селитися."
,"Яку йому кару дати? оженити його, та він буде знати!","Яку йому кару дати? Одружити його, та він буде знати!"
,"Аби хлопці, а дівчата будуть.","Аби хлопці, а дівчата будуть."
8870,Сього цвіту по усьому світу.,Цього цвіту по усьому світу.
,"Дівка як верба: де посади, там приймецця.","Дівка як верба: де посади, там прийметься."
,Чийсь доля плаче!,Чиясь доля плаче!
,"Из чорною головою у батька добре, з білою не так.","З чорною головою у батька добре, з білою не так."
8880,"Нехай вороги ідять булки, а ти, дівко, думай думки.","Нехай вороги їдять булки, а ти, дівко, думай думки."
,"Сидить дівка до сивої коси, й заміж не піде.","Сидить дівка до сивої коси, й заміж не піде."
,"Стара пані і старе вино за все добре, але не стара дівка.","Стара пані і старе вино за все добре, але не стара дівка."
,"Старій кобилі не брикацьця, сивій бабі не цілувацьця.","Старій кобилі не брикатися, сивій бабі не цілуватися."
,Личко дівку віддає.,Личко дівку віддає.
,"Хоч пема ззісти, аби було з ким сісти.","Хоч нема що з'їсти, аби було з ким сісти."
,При своїй небозі добре й в дорозі.,При своїй небозі добре й в дорозі.
,"Хоч у одній лелі, аби до любові.","Хоч в одній лелі, аби до любові."
,"Хоч не силяа, аби двір закрасила.","Хоч не сильна, аби двір прикрасила."
8900,"З доброї ріллі ори плугом, а хліб буде.","З доброї ріллі ори плугом, а хліб буде."
,"Карай, Боже, віком -- карай добрим чоловіком.","Карай, Боже, віком — карай добрим чоловіком."
,"Хоч ледачий, аби комір стоячий.","Хоч ледачий, аби комір стоячий."
,"Хоч хліба ні куса, аби без уса.","Хоч хліба ні куска, аби без вуса."
,"Жоли не годна молодця, то не хочу голубця.","Коли не гідна молодця, то не хочу голубця."
,"Сиди до сивої коси, а за ледащо не йди.","Сиди до сивої коси, а за ледащо не йди."
,"Лягла не клята, встала не мнята.","Лягла не клята, встала не м'ята."
8910,З доброго коня не жаль й впасти.,З доброго коня не жаль й упасти.
,Не жаль утопитися у чистій воді.,Не жаль утопитися у чистій воді.
,"Хоч далеко, та дихати легко.","Хоч далеко, та дихати легко."
,"Близько, та ходить слизько -- далеко, та ходить легко.","Близько, та ходити слизько — далеко, та ходити легко."
,"Хоч сова, аби з другого села.","Хоч сова, аби з другого села."
,"Хоч долі, аби у своїй волі.","Хоч долі, аби у своїй волі."
,Милость (кохання) о голоді не сита.,Кохання голодом не насититься.
,Красне личко серцю непокій.,Красне личко серцю непокій.
,"За гарного піди, гарне й лихо буде.","За гарного піди, гарне й лихо буде."
,Старий віл борозни не псує.,Старий віл борозни не псує.
8920,"Нужда в вікно, а любов вдвері.","Нужда у вікно, а любов у двері."
,"Тогді любва бере, як достаток є.","Тоді любов бере, як достаток є."
,"Доки не поберуцця, любляцця; а як поберуцця, то судяцця.","Доки не поберуться, люблять одне одного; а як поберуться, то сваряться."
,"Хоч ох, та вдвох.","Хоч ох, та вдвох."
,"Ніж мать у двох плакать, то лучче одному.","Ніж мати вдвох плакати, то краще одному."
,"Бог тому дасть, хто ровню поняв.","Бог тому дасть, хто рівню узяв."
,"Про мене, синку, хоч ин свияку.","Про мене, синку, хоч і за свояка."
,Хоч каплоуха та до двора сторожка.,Хоч кирпоноса та до двору господарка.
,"Хоч відьма, аби хлібна.","Хоч відьма, аби хлібна."
8930,За кого оддать -- аби не одстать.,За кого оддати — аби не відстати.
,"Хоч за пенька, коли нема синка.","Хоч за пенька, коли нема синка."
,"Хоч кривоніс, аби Бог приніс.","Хоч кривоніс, аби Бог приніс."
,"Хоч за вола, аби дома не була.","Хоч за вола, аби вдома не була."
,"Хоч без зубів и о єднім оку, аби сього року.","Хоч без зубів і з одним оком, аби цього року."
,"Хоч за старця, аби не остацьця.","Хоч за старця, аби не залишитися."
,"Молись, дівко, Богу -- та й в дорогу.","Молись, дівко, Богу — та й у дорогу."
8950,Сужене -- не розгужене.,Суджене — не розгуджене.
,"Що написано на роду, того не об'їдеш і на лоду.","Що написано на роду, того не об'їдеш і на льоду."
,"Нудьга за біду дочку оддав, а халепа на весіллі грав.","Нудьга за біду дочку оддав, а халепа на весіллі грав."
,Одні пучки голі (без віна).,Одні кулаки голі (без посагу).
,"Не плач, небого, що йдеш за його: нехай він плаче, що бере лихо у двір.","Не плач, небого, що йдеш за нього: нехай він плаче, що бере лихо у двір."
,"Поберімося, небого: в тебе мало, а в мене й того немає.","Поберімося, небого: в тебе мало, а в мене й того немає."
,"Постав хату з лободи, та в чужую не йди.","Постав хату з лободи, та в чужу не йди."
,"Сорочки нема, а женитися гадає.","Сорочки нема, а женитися гадає."
8960,"Поти дівка не оддасця, поки не осудять.","Поти дівка не оддасться, поки не осудять."
,"Тільки що задумаєш свататися, то й стара зараз брехати: без брехні ні жоден чоловік не сватався.","Тільки що задумаєш свататися, то й стара зразу бреше: без брехні жоден чоловік не сватався."
,Бабина курка на моїм подвір'ї кудкудаче.,Бабина курка на моєму подвір'ї кудкудаче.
8970,"Нашому слову кінець, а вашому ділу вінець.","Нашому слову кінець, а вашому ділу вінець."
,Шкода ходу до поганого роду.,Шкода ходу до поганого роду.
,Гарбуза дати.,Гарбуза дати.
,"Нащо нам гроші, коли ми самі хороші!","Нащо нам гроші, коли ми самі хороші!"
,З віном дівці не сидіти.,З посагом дівці не сидіти.
8980,"Віно або вовк иззість, або само згине.","Посаг або вовк з'їсть, або сам згине."
,"Воли, корови даю, а долі не вгадаю.","Воли, корови даю, а долі не вгадаю."
,Кіт гуде -- в нас весілля буде!,Кіт гуде — в нас весілля буде!
,"Як заручився, так і діло святе.","Як заручився, так і діло свято."
,"Хоч заручена, аби не звінчана.","Хоч заручена, аби не звінчана."
,Для подиву дівку продають.,Для подиву дівку продають.
,"Кому весілля, а кому безділля.","Кому весілля, а кому безділля."
,"Прощайте пороги, що мої походили ноги!","Прощайте пороги, що мої походили ноги!"
,"Ні стуку, ні грюку -- повезли як сувій.","Ні стуку, ні грюку — повезли як сувій."
8990,Одрізана скиба од хліба.,Відрізана скиба від хліба.
,"Не борони, батю, узяти за хату.","Не борони, батьку, взяти за хату."
,"Забувай батькові нарови, та бери мої.","Забувай батькові норови, та бери мої."
,"Де родилася, а игде пригодилася.","Де народилася, а деінде пригодилася."
,"Коли дівці сходить на вінці, то збабіє.","Коли дівці сходить на вінці, то зіпсується."
,"До весілля дівка гарна, а там хоч покинь.","До весілля дівка гарна, а там хоч покинь."
9000,"Сам чорт не пізна, яка з дівчини вийде молодиця.","Сам чорт не пізнає, яка з дівчини вийде молодиця."
,"Дівка -- як огонь, невіста -- корогов.","Дівка — як вогонь, наречена — корогів."
,"Як гарна молодиця, то гарно подивицця.","Як гарна молодиця, то гарно подивиться."
,З гарної дівки гарна й молодиця.,З гарної дівки гарна й молодиця.
,"Дівкою повна улиця, жінкою повна піч.","Дівкою повна вулиця, жінкою повна піч."
,"Не мав лиха, так оженився.","Не мав лиха, так одружився."
